Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
Grand Theft Auto V,PS3,Action,Rockstar Games,9.4,20.32,6.37,0.99,9.85,3.12,9/17/2013
Grand Theft Auto V,PS4,Action,Rockstar Games,9.7,19.39,6.06,0.6,9.71,3.02,11/18/2014
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,9.6,16.15,8.41,0.47,5.49,1.78,10/28/2002
Grand Theft Auto V,X360,Action,Rockstar Games,,15.86,9.06,0.06,5.33,1.42,9/17/2013
Call of Duty: Black Ops 3,PS4,Shooter,Activision,8.1,15.09,6.18,0.41,6.05,2.44,11/6/2015
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,8.7,14.82,9.07,0.13,4.29,1.33,11/8/2011
Call of Duty: Black Ops,X360,Shooter,Activision,8.8,14.74,9.76,0.11,3.73,1.14,11/9/2010
Red Dead Redemption 2,PS4,Action-Adv,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,10/26/2018
Call of Duty: Black Ops II,X360,Shooter,Activision,8.4,13.86,8.27,0.07,4.32,1.2,11/13/2012
Call of Duty: Black Ops II,PS3,Shooter,Activision,8,13.8,4.99,0.65,5.88,2.28,11/13/2012
